Algeria,1983
Benin,1999
Botswana,2005
Burkina Faso,1997
Burundi,2000
Cameroon,1996
Central African Republic,2007
Chad,1998
Comoros,1994
C̫te d'Ivoire,1996
Democratic Republic Of The Congo,2011
Djibouti,2000
Eritrea,2017
Ethiopia,2002
Egypt,1994
Eswatini,2002
France,1976
Gabon,1993
Ghana,1994
Guinea,1987
Haiti,2005
Kenya,2000
Lesotho,2008
Liberia,2002
Luxembourg,1978
Madagascar,1990
Malawi,1996
Mali,1991
Mauritania,2000
Mauritius,1991
Monaco,2017
Morocco,2003
Namibia,2007
Niger,1998
Nigeria,1988
Republic Of The Congo,1986
Rwanda,2005
Sierra Leone,2000
Senegal,2001
Seychelles,1994
South Africa,1989
Tanzania,2004
The Gambia,1994
Togo,1988
Tunisia,1988
Uganda,1995
Zambia,1990
Zanzibar,1996
Zimbabwe,2002
